,School,Link,GameLogs,Pace,ELO
83,Fairfield,https://www.sports-reference.com/cbb/schools/fairfield/men/2026.html,https://www.sports-reference.com/cbb/schools/fairfield/men/2026-gamelogs.html,67.8,1324.75
84,FDU,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2026.html,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2026-gamelogs.html,64.5,1046.0
85,Florida,https://www.sports-reference.com/cbb/schools/florida/men/2026.html,https://www.sports-reference.com/cbb/schools/florida/men/2026-gamelogs.html,72.7,1790.4
86,Florida A&M,https://www.sports-reference.com/cbb/schools/florida-am/men/2026.html,https://www.sports-reference.com/cbb/schools/florida-am/men/2026-gamelogs.html,70.2,1176.32
87,Florida Atlantic,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2026.html,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2026-gamelogs.html,70.6,1376.66
88,Florida Gulf Coast,https://www.sports-reference.com/cbb/schools/florida-gulf-coast/men/2026.html,https://www.sports-reference.com/cbb/schools/florida-gulf-coast/men/2026-gamelogs.html,69.7,1185.95
89,Florida International,https://www.sports-reference.com/cbb/schools/florida-international/men/2026.html,https://www.sports-reference.com/cbb/schools/florida-international/men/2026-gamelogs.html,73.1,1266.68
90,Florida State,https://www.sports-reference.com/cbb/schools/florida-state/men/2026.html,https://www.sports-reference.com/cbb/schools/florida-state/men/2026-gamelogs.html,72.2,1502.9
91,Fordham,https://www.sports-reference.com/cbb/schools/fordham/men/2026.html,https://www.sports-reference.com/cbb/schools/fordham/men/2026-gamelogs.html,65.7,1352.53
92,Fresno State,https://www.sports-reference.com/cbb/schools/fresno-state/men/2026.html,https://www.sports-reference.com/cbb/schools/fresno-state/men/2026-gamelogs.html,69.6,1246.57
93,Furman,https://www.sports-reference.com/cbb/schools/furman/men/2026.html,https://www.sports-reference.com/cbb/schools/furman/men/2026-gamelogs.html,66.8,1305.48
94,Gardner-Webb,https://www.sports-reference.com/cbb/schools/gardner-webb/men/2026.html,https://www.sports-reference.com/cbb/schools/gardner-webb/men/2026-gamelogs.html,71.2,924.61
95,George Mason,https://www.sports-reference.com/cbb/schools/george-mason/men/2026.html,https://www.sports-reference.com/cbb/schools/george-mason/men/2026-gamelogs.html,65.3,1466.22
96,George Washington,https://www.sports-reference.com/cbb/schools/george-washington/men/2026.html,https://www.sports-reference.com/cbb/schools/george-washington/men/2026-gamelogs.html,70.7,1380.7
97,Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/men/2026.html,https://www.sports-reference.com/cbb/schools/georgetown/men/2026-gamelogs.html,67.2,1333.34
98,Georgia,https://www.sports-reference.com/cbb/schools/georgia/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia/men/2026-gamelogs.html,73.1,1560.5
99,Georgia Southern,https://www.sports-reference.com/cbb/schools/georgia-southern/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia-southern/men/2026-gamelogs.html,71.9,1232.76
100,Georgia State,https://www.sports-reference.com/cbb/schools/georgia-state/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia-state/men/2026-gamelogs.html,69.3,1127.18
101,Georgia Tech,https://www.sports-reference.com/cbb/schools/georgia-tech/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia-tech/men/2026-gamelogs.html,71.7,1273.82
102,Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/men/2026.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2026-gamelogs.html,70.9,1721.74
103,Grambling,https://www.sports-reference.com/cbb/schools/grambling/men/2026.html,https://www.sports-reference.com/cbb/schools/grambling/men/2026-gamelogs.html,70.2,1051.37
104,Grand Canyon,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2026.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2026-gamelogs.html,68.8,1490.34
105,Green Bay,https://www.sports-reference.com/cbb/schools/green-bay/men/2026.html,https://www.sports-reference.com/cbb/schools/green-bay/men/2026-gamelogs.html,65.4,1302.34
106,Hampton,https://www.sports-reference.com/cbb/schools/hampton/men/2026.html,https://www.sports-reference.com/cbb/schools/hampton/men/2026-gamelogs.html,66.3,1215.52
107,Harvard,https://www.sports-reference.com/cbb/schools/harvard/men/2026.html,https://www.sports-reference.com/cbb/schools/harvard/men/2026-gamelogs.html,63.9,1379.64
108,Hawaii,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026-gamelogs.html,71.9,1427.51
109,High Point,https://www.sports-reference.com/cbb/schools/high-point/men/2026.html,https://www.sports-reference.com/cbb/schools/high-point/men/2026-gamelogs.html,71.7,1549.03
110,Hofstra,https://www.sports-reference.com/cbb/schools/hofstra/men/2026.html,https://www.sports-reference.com/cbb/schools/hofstra/men/2026-gamelogs.html,66.3,1409.17
111,Holy Cross,https://www.sports-reference.com/cbb/schools/holy-cross/men/2026.html,https://www.sports-reference.com/cbb/schools/holy-cross/men/2026-gamelogs.html,66.0,1010.61
112,Houston,https://www.sports-reference.com/cbb/schools/houston/men/2026.html,https://www.sports-reference.com/cbb/schools/houston/men/2026-gamelogs.html,64.8,1740.96
113,Houston Christian,https://www.sports-reference.com/cbb/schools/houston-baptist/men/2026.html,https://www.sports-reference.com/cbb/schools/houston-baptist/men/2026-gamelogs.html,65.0,1140.61
114,Howard,https://www.sports-reference.com/cbb/schools/howard/men/2026.html,https://www.sports-reference.com/cbb/schools/howard/men/2026-gamelogs.html,70.1,1277.81
115,Idaho,https://www.sports-reference.com/cbb/schools/idaho/men/2026.html,https://www.sports-reference.com/cbb/schools/idaho/men/2026-gamelogs.html,69.5,1230.61
116,Idaho State,https://www.sports-reference.com/cbb/schools/idaho-state/men/2026.html,https://www.sports-reference.com/cbb/schools/idaho-state/men/2026-gamelogs.html,66.7,1085.75
117,Illinois,https://www.sports-reference.com/cbb/schools/illinois/men/2026.html,https://www.sports-reference.com/cbb/schools/illinois/men/2026-gamelogs.html,66.3,1684.46
118,Illinois State,https://www.sports-reference.com/cbb/schools/illinois-state/men/2026.html,https://www.sports-reference.com/cbb/schools/illinois-state/men/2026-gamelogs.html,67.6,1459.88
119,Illinois-Chicago,https://www.sports-reference.com/cbb/schools/illinois-chicago/men/2026.html,https://www.sports-reference.com/cbb/schools/illinois-chicago/men/2026-gamelogs.html,67.3,1390.89
120,Incarnate Word,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2026.html,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2026-gamelogs.html,66.3,1104.13
121,Indiana,https://www.sports-reference.com/cbb/schools/indiana/men/2026.html,https://www.sports-reference.com/cbb/schools/indiana/men/2026-gamelogs.html,66.9,1527.74
122,Indiana State,https://www.sports-reference.com/cbb/schools/indiana-state/men/2026.html,https://www.sports-reference.com/cbb/schools/indiana-state/men/2026-gamelogs.html,69.2,1205.8
123,Iona,https://www.sports-reference.com/cbb/schools/iona/men/2026.html,https://www.sports-reference.com/cbb/schools/iona/men/2026-gamelogs.html,68.4,1286.07
124,Iowa,https://www.sports-reference.com/cbb/schools/iowa/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa/men/2026-gamelogs.html,63.3,1584.44
125,Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2026-gamelogs.html,68.2,1685.68
126,Jackson State,https://www.sports-reference.com/cbb/schools/jackson-state/men/2026.html,https://www.sports-reference.com/cbb/schools/jackson-state/men/2026-gamelogs.html,71.4,1105.01
127,Jacksonville,https://www.sports-reference.com/cbb/schools/jacksonville/men/2026.html,https://www.sports-reference.com/cbb/schools/jacksonville/men/2026-gamelogs.html,66.1,1139.41
128,Jacksonville State,https://www.sports-reference.com/cbb/schools/jacksonville-state/men/2026.html,https://www.sports-reference.com/cbb/schools/jacksonville-state/men/2026-gamelogs.html,66.7,1284.04
129,James Madison,https://www.sports-reference.com/cbb/schools/james-madison/men/2026.html,https://www.sports-reference.com/cbb/schools/james-madison/men/2026-gamelogs.html,66.7,1363.14
130,Kansas,https://www.sports-reference.com/cbb/schools/kansas/men/2026.html,https://www.sports-reference.com/cbb/schools/kansas/men/2026-gamelogs.html,67.9,1715.2
131,Kansas City,https://www.sports-reference.com/cbb/schools/missouri-kansas-city/men/2026.html,https://www.sports-reference.com/cbb/schools/missouri-kansas-city/men/2026-gamelogs.html,72.0,896.38
132,Kansas State,https://www.sports-reference.com/cbb/schools/kansas-state/men/2026.html,https://www.sports-reference.com/cbb/schools/kansas-state/men/2026-gamelogs.html,73.8,1352.53
133,Kennesaw State,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2026.html,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2026-gamelogs.html,72.7,1395.66
134,Kent State,https://www.sports-reference.com/cbb/schools/kent-state/men/2026.html,https://www.sports-reference.com/cbb/schools/kent-state/men/2026-gamelogs.html,73.0,1459.82
135,Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/men/2026.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2026-gamelogs.html,69.4,1637.63
136,La Salle,https://www.sports-reference.com/cbb/schools/la-salle/men/2026.html,https://www.sports-reference.com/cbb/schools/la-salle/men/2026-gamelogs.html,66.3,1197.91
137,Lafayette,https://www.sports-reference.com/cbb/schools/lafayette/men/2026.html,https://www.sports-reference.com/cbb/schools/lafayette/men/2026-gamelogs.html,67.2,1134.24
138,Lamar,https://www.sports-reference.com/cbb/schools/lamar/men/2026.html,https://www.sports-reference.com/cbb/schools/lamar/men/2026-gamelogs.html,66.3,1074.78
139,Le Moyne,https://www.sports-reference.com/cbb/schools/le-moyne/men/2026.html,https://www.sports-reference.com/cbb/schools/le-moyne/men/2026-gamelogs.html,69.4,1116.43
140,Lehigh,https://www.sports-reference.com/cbb/schools/lehigh/men/2026.html,https://www.sports-reference.com/cbb/schools/lehigh/men/2026-gamelogs.html,67.2,1224.13
141,Liberty,https://www.sports-reference.com/cbb/schools/liberty/men/2026.html,https://www.sports-reference.com/cbb/schools/liberty/men/2026-gamelogs.html,65.3,1544.14
