,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
3650,Georgetown,78,Marquette,69,1,3,6,14,27,58,16,14,12,23,1395.12,1388.57,6.5499999999999545,9
3652,Arkansas State,89,Texas State,70,0,3,4,11,28,55,22,16,8,20,1340.45,1254.2,86.25,19
3654,South Florida,93,Alabama,104,0,6,8,25,21,72,30,25,14,34,1472.42,1641.07,-168.64999999999986,-11
3658,Weber State,74,Utah Valley,90,0,0,6,16,13,62,13,16,11,21,1173.37,1443.96,-270.59000000000015,-16
3660,Bethune-Cookman,53,Saint Louis,112,2,3,8,10,19,62,18,19,12,23,1270.66,1636.71,-366.04999999999995,-59
3664,James Madison,68,Old Dominion,77,0,2,5,7,29,54,23,22,11,18,1332.61,1213.91,118.69999999999982,-9
3666,Wofford,73,Wichita State,84,0,3,7,15,22,59,25,26,10,25,1401.04,1437.96,-36.92000000000007,-11
3668,Cleveland State,77,UAB,101,1,0,4,5,23,58,28,21,12,15,1211.48,1422.92,-211.44000000000005,-24
3670,Louisiana Tech,53,Tulane,61,2,0,3,19,24,57,18,20,5,18,1355.08,1347.61,7.470000000000027,-8
3672,Kennesaw State,67,Middle Tennessee,68,0,7,7,18,26,63,20,21,5,22,1353.78,1370.68,-16.90000000000009,-1
3678,Vanderbilt,77,Memphis,70,2,5,16,15,30,62,31,19,14,40,1663.42,1450.87,212.55000000000018,7
3682,UC Santa Barbara,64,Green Bay,67,0,4,3,5,25,46,19,19,2,7,1384.98,1278.0,106.98000000000002,-3
3684,Eastern Kentucky,62,Jacksonville State,59,4,4,3,13,25,56,31,22,2,10,1137.52,1364.74,-227.22000000000003,3
3694,Mercer,63,UCF,81,1,4,7,9,25,53,18,14,7,24,1319.74,1610.01,-290.27,-18
3698,Jacksonville,65,Florida A&M,72,0,1,3,7,22,53,21,22,5,16,1202.42,1175.67,26.75,-7
3700,Chattanooga,64,Bellarmine,79,0,2,10,11,22,64,46,20,3,15,1248.25,1115.89,132.3599999999999,-15
3704,Siena,69,Vermont,83,1,3,2,11,24,67,21,17,8,13,1329.38,1357.96,-28.579999999999927,-14
3706,Presbyterian,53,East Carolina,74,1,2,8,10,16,53,11,22,11,14,1185.99,1202.22,-16.230000000000018,-21
3708,Quinnipiac,85,Monmouth,75,1,6,9,11,23,64,19,17,16,18,1351.39,1290.31,61.080000000000155,10
3710,Alabama State,51,Cincinnati,88,1,0,2,17,23,69,20,17,0,12,1131.53,1467.68,-336.1500000000001,-37
3712,Youngstown State,77,Robert Morris,80,2,6,4,7,20,43,24,20,7,22,1205.33,1345.59,-140.26,-3
3714,Oakland,82,Northern Kentucky,77,0,0,7,12,27,61,18,16,18,29,1405.88,1323.48,82.40000000000009,5
3716,Longwood,68,Wake Forest,71,0,0,5,11,30,62,31,21,7,21,1188.89,1428.04,-239.14999999999986,-3
3718,Mercyhurst,62,Syracuse,76,2,4,11,11,21,62,18,14,10,10,1196.36,1404.49,-208.1300000000001,-14
3720,Binghamton,63,Pittsburgh,103,1,2,7,5,21,41,10,18,11,27,958.72,1355.73,-397.01,-40
3722,Texas Southern,72,NC State,108,1,3,4,15,18,65,24,19,12,20,1131.23,1587.0,-455.77,-36
3724,Richmond,70,Elon,73,1,2,6,11,22,53,29,18,4,10,1292.52,1320.85,-28.329999999999927,-3
3728,Creighton,98,Xavier,57,2,4,11,6,36,63,33,12,21,10,1487.53,1418.8,68.73000000000002,41
3730,Stonehill,58,New Hampshire,59,0,5,7,10,32,50,15,18,7,18,1104.8,1149.4,-44.600000000000136,-1
3744,Montana State,83,Cal Poly,80,0,2,5,14,25,66,36,24,20,25,1303.86,1200.65,103.20999999999981,3
3746,Southern,67,California Baptist,75,0,2,5,12,27,58,23,20,5,20,1161.11,1424.46,-263.35000000000014,-8
3748,Abilene Christian,62,Arizona,96,0,0,13,11,12,56,16,26,12,25,1232.99,1826.82,-593.8299999999999,-34
3754,Towson,49,Kansas,73,1,3,5,22,23,69,24,13,4,12,1355.75,1674.85,-319.0999999999999,-24
3760,East Tennessee State,58,North Carolina,77,1,2,4,6,17,52,23,19,0,16,1350.19,1618.04,-267.8499999999999,-19
3762,Northern Colorado,90,Texas Tech,101,0,0,1,12,22,66,27,17,4,8,1233.27,1756.84,-523.5699999999999,-11
3766,Le Moyne,53,Texas,95,1,5,7,10,19,60,18,22,8,23,1182.05,1506.73,-324.68000000000006,-42
3770,Oral Roberts,62,Missouri State,63,1,1,7,4,23,47,20,20,4,23,977.9,1273.11,-295.2099999999999,-1
3772,Valparaiso,70,Northwestern,86,2,2,6,10,21,54,19,19,4,22,1331.49,1421.44,-89.95000000000005,-16
3774,Marist,76,Georgia Tech,87,0,2,9,12,14,62,27,14,18,14,1341.33,1381.48,-40.15000000000009,-11
3776,Long Island University,83,Mississippi State,87,1,7,7,8,25,68,30,20,23,11,1301.89,1479.75,-177.8599999999999,-4
3778,Little Rock,64,Morehead State,78,0,3,12,6,18,53,16,23,15,25,1196.72,1240.73,-44.00999999999999,-14
3780,Louisville,62,Tennessee,83,3,1,5,12,18,58,34,20,4,18,1614.63,1617.63,-3.0,-21
3784,Belmont,83,Evansville,78,0,2,7,7,31,58,21,22,16,25,1576.64,1160.2,416.44000000000005,5
3788,North Carolina A&T,71,UNC Greensboro,65,0,5,2,16,32,64,28,16,9,18,1150.56,1202.61,-52.049999999999955,6
3790,Tarleton State,88,Mississippi Valley State,64,0,1,19,10,19,59,21,13,19,22,1204.34,880.93,323.40999999999997,24
3794,Kansas City,67,Oklahoma,89,1,3,3,9,25,52,20,19,0,22,969.67,1411.1,-441.42999999999995,-22
3796,Rider,57,Delaware,65,1,0,4,11,22,61,25,14,6,9,1046.52,1181.66,-135.1400000000001,-8
3798,Miami (OH),83,Wright State,76,0,2,6,3,27,51,19,18,7,28,1598.26,1357.04,241.22000000000003,7
3802,Florida State,69,Dayton,97,1,2,7,14,23,58,27,31,7,27,1387.72,1445.16,-57.440000000000055,-28
3804,Canisius,45,Rhode Island,62,1,2,8,9,25,47,15,14,4,14,1090.17,1428.69,-338.52,-17
3806,South Carolina,61,Clemson,68,0,1,7,9,24,51,26,26,3,23,1393.94,1634.32,-240.37999999999988,-7
3812,Toledo,69,Michigan State,92,0,2,11,6,18,64,27,15,16,17,1325.26,1726.57,-401.30999999999995,-23
3818,Lipscomb,73,Duke,97,0,2,12,3,18,61,23,19,21,20,1376.51,1802.92,-426.4100000000001,-24
3822,South Carolina Upstate,78,South Carolina State,72,0,2,6,9,21,53,21,16,7,25,1109.33,1100.22,9.1099999999999,6
3826,Dartmouth,89,Holy Cross,64,0,5,4,12,30,56,24,18,5,20,1254.78,1086.35,168.43000000000006,25
3828,Howard,74,Drexel,66,1,5,11,9,27,48,10,17,7,25,1164.9,1320.67,-155.76999999999998,8
3832,Wyoming,87,South Dakota State,72,1,1,4,9,29,56,24,22,7,20,1306.98,1222.32,84.66000000000008,15
3834,North Alabama,60,Alabama A&M,68,0,4,4,4,28,50,19,22,8,17,1128.68,1159.36,-30.679999999999836,-8
3838,Incarnate Word,65,TCU,69,1,4,4,7,22,57,23,18,5,9,1128.85,1510.74,-381.8900000000001,-4
3846,Wofford,83,Gardner-Webb,57,2,3,9,18,28,66,23,13,5,20,1401.04,998.94,402.0999999999999,26
3858,Jacksonville,75,Texas A&M,112,0,5,10,9,16,58,27,18,8,17,1202.42,1624.51,-422.0899999999999,-37
3864,North Texas,58,South Alabama,57,3,6,6,11,22,56,40,21,9,16,1366.58,1408.04,-41.460000000000036,1
3868,Kent State,78,Portland,88,0,1,10,14,24,58,20,18,6,28,1470.86,1233.42,237.43999999999983,-10
3872,Detroit Mercy,77,Purdue Fort Wayne,81,0,2,1,15,29,68,20,23,5,14,1151.58,1360.86,-209.27999999999997,-4
3876,Florida Gulf Coast,59,New Mexico,75,0,4,11,9,20,57,36,26,15,14,1208.3,1614.09,-405.78999999999996,-16
3882,Troy,86,UAB,85,0,3,6,9,20,61,28,11,7,16,1456.41,1422.92,33.49000000000001,1
3886,Western Michigan,51,Iowa,91,0,1,4,16,20,57,24,18,8,22,1177.22,1616.46,-439.24,-40
3888,Coppin State,77,Radford,107,2,1,9,9,18,56,26,18,19,19,958.17,1269.88,-311.71000000000015,-30
3896,Bethune-Cookman,60,Missouri,82,2,1,10,5,15,45,12,12,9,21,1270.66,1511.6,-240.93999999999983,-22
3898,Merrimack,59,Vermont,66,0,4,4,9,19,51,22,18,2,16,1391.05,1357.96,33.08999999999992,-7
3902,Monmouth,65,Fairfield,73,1,4,3,9,22,61,17,12,6,5,1290.31,1238.99,51.319999999999936,-8
3906,Ball State,64,Campbell,69,3,4,6,12,26,59,14,21,7,20,1141.5,1201.36,-59.8599999999999,-5
3908,Indiana State,70,Milwaukee,68,1,3,2,5,29,52,24,17,19,6,1236.05,1262.35,-26.299999999999955,2
3910,Eastern Illinois,53,Iowa State,78,3,3,10,8,21,53,19,16,9,12,1138.31,1713.44,-575.1300000000001,-25
3912,Texas Southern,53,Minnesota,89,2,3,5,7,24,53,18,17,4,13,1131.23,1407.51,-276.28,-36
3914,Buffalo,70,East Carolina,73,0,1,5,14,26,59,26,22,14,21,1276.94,1202.22,74.72000000000003,-3
3920,Tulane,67,UC San Diego,93,0,5,6,8,26,61,20,14,12,22,1347.61,1394.03,-46.42000000000007,-26
3924,UCLA,72,Gonzaga,82,1,9,5,6,23,51,15,22,13,19,1615.41,1743.3,-127.88999999999987,-10
3926,Mississippi State,82,Utah,74,0,3,10,8,24,65,25,15,9,9,1479.75,1367.97,111.77999999999997,8
3928,Duquesne,75,Nevada,78,1,3,6,14,24,59,33,24,11,20,1313.12,1532.39,-219.2700000000002,-3
3930,Arizona,96,Alabama,75,0,2,10,22,30,84,26,15,19,20,1826.82,1641.07,185.75,21
3932,Pepperdine,70,Cal State Bakersfield,62,1,0,8,12,24,55,21,16,8,19,1108.87,1141.76,-32.8900000000001,8
3942,Michigan,101,Maryland,83,0,8,6,6,20,58,19,16,24,22,1808.16,1404.58,403.58000000000015,18
3948,Rutgers,59,Seton Hall,81,0,2,8,15,14,53,15,17,8,22,1394.3,1467.4,-73.10000000000014,-22
3952,Coastal Carolina,61,Grand Canyon,82,0,4,3,10,23,67,22,21,5,8,1290.79,1516.78,-225.99,-21
3954,West Virginia,88,Ohio State,89,0,5,5,13,29,63,26,21,11,34,1541.0,1569.78,-28.779999999999973,-1
3956,San Francisco,75,Saint Louis,85,0,3,6,10,23,62,36,18,3,21,1418.17,1636.71,-218.53999999999996,-10
3958,Indiana,60,Kentucky,72,1,3,2,8,29,44,24,24,7,29,1568.65,1630.94,-62.289999999999964,-12
3960,The Citadel,55,South Carolina,71,1,4,6,10,22,57,19,15,9,20,1068.57,1393.94,-325.3700000000001,-16
3962,Georgia Southern,91,West Georgia,85,0,4,10,13,18,65,30,19,20,23,1299.91,1117.36,182.55000000000018,6
3966,Arizona State,82,Santa Clara,79,0,5,10,7,24,53,21,16,17,19,1433.83,1575.11,-141.27999999999997,3
3970,North Florida,61,Dayton,84,1,1,6,15,22,62,29,18,6,16,1073.09,1445.16,-372.07000000000016,-23
3972,Central Arkansas,72,Vanderbilt,83,0,1,8,10,26,61,32,19,9,27,1233.52,1663.42,-429.9000000000001,-11
3976,Northern Arizona,69,San Diego,78,0,1,7,9,19,52,20,21,6,14,1113.04,1220.63,-107.59000000000015,-9
3978,Southern Utah,69,Washington,105,0,3,0,9,22,64,21,20,2,10,1124.6,1488.62,-364.02,-36
3980,Oakland,63,Northern Iowa,75,0,1,6,9,29,58,18,20,10,19,1405.88,1356.14,49.74000000000001,-12
3982,Southern Illinois,84,Richmond,93,1,0,7,15,33,69,13,27,13,25,1293.51,1292.52,0.9900000000000091,-9
3986,Kansas,77,NC State,76,0,3,4,10,36,70,30,12,11,10,1674.85,1587.0,87.84999999999991,1
3992,Montana State,57,Oregon State,67,1,2,7,11,23,57,25,23,2,15,1303.86,1332.8,-28.940000000000055,-10
3994,Northwestern State,70,California,79,3,1,6,5,22,51,24,19,9,15,1146.1,1485.28,-339.18000000000006,-9
3996,St. Bonaventure,83,Ohio,88,0,1,10,14,21,70,16,17,8,21,1375.68,1292.46,83.22000000000003,-5
3998,Illinois State,78,Utah State,83,1,3,11,7,11,51,14,16,18,16,1449.27,1580.6,-131.32999999999993,-5
4000,Chattanooga,78,Auburn,92,0,0,10,4,16,59,20,24,18,20,1248.25,1640.92,-392.6700000000001,-14
4002,Pittsburgh,61,Villanova,79,0,1,2,16,20,57,22,19,7,12,1355.73,1575.58,-219.8499999999999,-18
4006,Nebraska,83,Illinois,80,0,2,6,8,19,62,26,21,7,8,1720.83,1737.36,-16.529999999999973,3
4012,UC Davis,62,Oregon,104,0,1,7,7,14,57,26,21,9,19,1297.03,1389.56,-92.52999999999997,-42
4014,Wright State,74,Marshall,76,0,5,8,18,19,73,29,16,17,6,1357.04,1324.68,32.3599999999999,-2
4016,Cal State Fullerton,105,Denver,86,0,4,9,10,28,64,31,22,25,23,1233.69,1133.67,100.01999999999998,19
4018,Murray State,115,Akron,100,2,7,1,15,27,69,32,27,3,25,1444.73,1570.49,-125.75999999999999,15
4020,UTSA,64,Colorado,88,1,5,6,14,20,64,18,20,5,16,1082.68,1417.81,-335.1299999999999,-24
4022,Hofstra,70,Syracuse,69,1,5,6,8,19,53,18,15,4,6,1280.5,1404.49,-123.99000000000001,1
4024,Marist,82,Bryant,74,1,0,11,8,23,55,16,15,6,21,1341.33,1115.02,226.30999999999995,8
4026,Niagara,73,Morgan State,81,0,2,10,4,8,53,21,20,14,19,1023.36,1120.63,-97.2700000000001,-8
4030,La Salle,60,Long Island University,70,0,3,7,18,22,61,14,19,4,10,1244.31,1301.89,-57.580000000000155,-10
4032,Memphis,73,Louisville,99,2,2,8,16,17,68,11,20,6,20,1450.87,1614.63,-163.76000000000022,-26
4034,New Orleans,57,Houston,99,3,2,3,10,21,45,14,24,0,23,1191.05,1772.45,-581.4000000000001,-42
4036,Miami (OH),79,Eastern Kentucky,69,0,4,11,7,25,61,25,17,20,9,1598.26,1137.52,460.74,10
4038,Tulsa,83,New Mexico State,70,2,3,8,8,30,44,27,20,12,35,1498.8,1228.12,270.68000000000006,13
4040,Hampton,57,Howard,61,0,3,7,15,27,50,21,22,10,43,1233.71,1164.9,68.80999999999995,-4
4044,Delaware State,81,Longwood,76,1,3,11,5,18,50,12,18,11,25,998.73,1188.89,-190.16000000000008,5
4046,Louisiana,44,Louisiana Tech,65,2,2,8,13,16,50,23,18,1,13,1164.33,1355.08,-190.75,-21
4048,Arkansas State,76,Rice,77,0,2,6,13,30,61,18,17,14,19,1340.45,1220.67,119.77999999999997,-1
4050,UNC Wilmington,73,Valparaiso,70,0,0,2,22,24,60,22,24,13,33,1522.73,1331.49,191.24,3
4052,Kansas State,83,Creighton,76,0,4,5,15,27,68,28,16,9,15,1406.21,1487.53,-81.31999999999994,7
4054,Mercer,63,Clemson,70,0,4,5,3,23,54,22,15,5,10,1319.74,1634.32,-314.5799999999999,-7
4056,George Washington,70,Florida,80,0,0,8,13,22,65,26,24,4,19,1401.48,1669.21,-267.73,-10
4058,Saint Peter's,68,Georgetown,76,1,5,11,11,20,57,29,31,14,29,1323.38,1395.12,-71.73999999999978,-8
4060,Marquette,59,Purdue,79,0,3,8,15,14,61,31,17,2,15,1388.57,1701.37,-312.79999999999995,-20
4062,South Carolina Upstate,62,North Carolina,80,0,2,2,11,23,66,27,15,4,3,1109.33,1618.04,-508.71000000000004,-18
4066,Western Illinois,69,North Dakota,66,1,5,9,25,26,70,19,24,8,25,937.58,1268.34,-330.7599999999999,3
4068,North Dakota State,99,Drake,94,0,0,9,6,21,62,33,17,16,22,1454.82,1416.73,38.08999999999992,5
4070,Jacksonville State,73,Georgia State,77,0,2,4,13,23,66,22,23,2,20,1364.74,1243.87,120.87000000000012,-4
4072,UC Santa Barbara,53,Utah Valley,68,1,3,11,11,24,53,13,14,10,14,1384.98,1443.96,-58.98000000000002,-15
4074,Jackson State,53,Northwestern,93,0,1,7,8,21,56,25,26,2,23,1210.76,1421.44,-210.68000000000006,-40
4076,Boston University,64,Dartmouth,77,0,4,6,15,23,62,30,22,6,17,1100.96,1254.78,-153.81999999999994,-13
4078,Sacred Heart,65,NJIT,49,2,3,6,11,29,56,18,15,8,14,1200.63,1160.31,40.320000000000164,16
4080,Northern Kentucky,80,Bellarmine,76,0,2,14,12,20,63,25,16,14,17,1323.48,1115.89,207.58999999999992,4
4082,Providence,110,Butler,113,1,6,5,17,28,86,37,25,15,18,1336.14,1484.25,-148.1099999999999,-3
4084,Manhattan,53,Fordham,82,0,2,5,6,15,58,19,8,2,9,1137.32,1236.68,-99.36000000000013,-29
4088,Mercyhurst,47,Davidson,80,2,5,3,3,14,45,13,18,5,16,1196.36,1371.42,-175.06000000000017,-33
4090,Cincinnati,65,Georgia,84,0,3,8,14,23,65,27,21,11,21,1467.68,1551.42,-83.74000000000001,-19
4092,Evansville,58,Notre Dame,82,0,5,6,8,24,53,24,21,7,13,1160.2,1411.96,-251.76,-24
4094,Canisius,70,Maine,43,2,5,9,13,29,56,20,17,7,17,1090.17,1096.06,-5.889999999999873,27
4098,Northern Illinois,79,Elon,85,1,1,5,12,21,58,30,27,12,27,1107.89,1320.85,-212.9599999999998,-6
4100,Toledo,70,Robert Morris,75,0,2,2,10,25,60,12,26,9,30,1325.26,1345.59,-20.329999999999927,-5
4102,Oklahoma,85,Oklahoma State,76,0,5,3,11,35,63,33,13,8,20,1411.1,1497.55,-86.45000000000005,9
4104,Cal State Northridge,88,Delaware,66,1,6,11,13,25,65,23,15,13,14,1325.03,1181.66,143.3699999999999,22
4106,Old Dominion,61,George Mason,73,0,6,5,6,29,53,16,19,4,14,1213.91,1598.84,-384.92999999999984,-12
4108,Michigan State,76,Penn State,72,1,3,6,11,29,52,18,13,4,21,1726.57,1322.93,403.6399999999999,4
4110,Texas Tech,86,Arkansas,93,0,4,4,14,19,69,31,17,4,10,1756.84,1664.33,92.50999999999999,-7
4116,Massachusetts,103,Florida State,95,1,1,8,12,25,71,22,20,8,21,1319.07,1387.72,-68.65000000000009,8
4118,DePaul,61,Wichita State,58,2,1,5,6,23,47,17,19,3,10,1410.84,1437.96,-27.12000000000012,3
4120,Central Michigan,55,Stony Brook,78,2,5,7,7,11,57,23,13,8,15,1115.34,1298.45,-183.11000000000013,-23
4124,California Baptist,88,Eastern Washington,83,0,4,4,15,22,56,15,27,5,28,1424.46,1084.45,340.01,5
4132,East Tennessee State,75,Austin Peay,76,0,8,8,9,26,61,28,18,18,14,1350.19,1337.08,13.110000000000127,-1
4142,Missouri State,57,Xavier,75,0,3,4,10,26,53,14,13,6,15,1273.11,1418.8,-145.69000000000005,-18
4150,North Dakota State,80,Cal State Bakersfield,69,2,4,11,21,27,61,25,14,20,37,1454.82,1141.76,313.05999999999995,11
4154,Saint Joseph's,63,Syracuse,71,1,4,7,14,30,56,26,22,16,27,1437.14,1404.49,32.65000000000009,-8
4156,Iowa,62,Iowa State,66,1,3,5,8,23,51,15,19,2,5,1616.46,1713.44,-96.98000000000002,-4
4160,Alabama State,77,Missouri,85,0,3,7,10,14,59,26,16,9,12,1131.53,1511.6,-380.06999999999994,-8
4172,Western Carolina,74,Virginia Tech,96,0,1,7,15,19,57,20,20,0,30,1182.65,1535.9,-353.25,-22
4180,Lamar,71,San Diego State,89,3,5,9,9,21,58,35,20,6,20,1260.6,1612.65,-352.0500000000002,-18
4182,Fresno State,87,Cal State Northridge,89,0,1,8,7,20,60,29,12,11,16,1261.6,1325.03,-63.430000000000064,-2
4186,Wisconsin,60,Nebraska,90,1,1,4,11,21,64,32,18,2,11,1610.82,1720.83,-110.00999999999999,-30
4188,Duquesne,64,Boise State,86,0,6,2,6,23,58,25,18,6,18,1313.12,1504.17,-191.05000000000018,-22
4190,Southern,83,Texas State,86,0,4,13,11,20,63,26,21,10,19,1161.11,1254.2,-93.09000000000015,-3
4192,Jackson State,38,Houston,80,1,2,7,7,21,44,28,18,4,5,1210.76,1772.45,-561.69,-42
4198,Eastern Kentucky,68,Eastern Illinois,59,2,2,4,12,25,57,32,13,2,13,1137.52,1138.31,-0.7899999999999636,9
4200,Arkansas-Pine Bluff,84,Tulsa,117,0,2,4,7,19,57,25,22,15,21,1111.27,1498.8,-387.53,-33
4202,Weber State,64,Kansas City,60,0,1,12,12,28,61,20,21,12,18,1173.37,969.67,203.69999999999993,4
4204,Idaho State,69,Utah Valley,73,0,1,8,8,17,55,23,13,3,17,1176.31,1443.96,-267.6500000000001,-4
4206,Eastern Michigan,65,Purdue Fort Wayne,80,0,4,1,5,21,50,22,18,2,15,1185.25,1360.86,-175.6099999999999,-15
4212,Minnesota,57,Purdue,85,1,1,3,5,18,56,25,20,2,15,1407.51,1701.37,-293.8599999999999,-28
4216,New Haven,64,NJIT,70,1,1,8,15,26,65,17,20,6,19,1066.2,1160.31,-94.1099999999999,-6
4222,Western Kentucky,61,Marshall,77,0,2,4,17,27,65,24,16,13,21,1277.0,1324.68,-47.680000000000064,-16
4226,Maine,69,Boston University,59,1,4,9,5,20,46,12,15,6,15,1096.06,1100.96,-4.900000000000091,10
4228,Bryant,63,Iona,69,0,9,4,9,29,56,36,11,5,4,1115.02,1354.38,-239.36000000000013,-6
4230,Idaho,65,Notre Dame,80,0,2,3,7,20,58,24,12,8,10,1227.0,1411.96,-184.96000000000004,-15
4232,Liberty,45,NC State,85,1,3,3,6,25,51,28,17,8,10,1586.41,1587.0,-0.5899999999999181,-40
4234,Massachusetts,76,Boston College,74,1,5,5,17,26,62,16,25,11,24,1319.07,1317.58,1.490000000000009,2
4236,Colgate,77,St. Bonaventure,85,0,4,7,15,21,67,21,24,9,19,1291.69,1375.68,-83.99000000000001,-8
4238,Delaware,70,George Washington,58,3,7,4,4,30,49,20,15,9,13,1181.66,1401.48,-219.81999999999994,12
4242,Miami (OH),90,UNC Asheville,87,2,0,4,4,26,62,26,19,13,24,1598.26,1243.7,354.55999999999995,3
4246,Merrimack,59,Princeton,56,0,6,6,3,23,46,19,16,12,20,1391.05,1252.82,138.23000000000002,3
4250,Norfolk State,67,Baylor,97,1,1,7,9,21,60,12,20,16,26,1165.69,1448.68,-282.99,-30
4262,Dartmouth,55,Colorado State,76,0,2,4,8,17,52,29,12,5,8,1254.78,1416.88,-162.10000000000014,-21
4264,Northern Arizona,48,Arizona State,73,1,4,10,4,21,51,26,20,4,10,1113.04,1433.83,-320.78999999999996,-25
4266,Penn State,72,Indiana,113,0,0,6,8,13,56,16,18,11,22,1322.93,1568.65,-245.72000000000003,-41
4268,South Dakota,79,Wyoming,106,0,1,5,9,17,53,19,16,4,33,1237.53,1306.98,-69.45000000000005,-27
4272,Morgan State,49,DePaul,92,2,2,5,21,18,55,16,24,6,31,1120.63,1410.84,-290.2099999999998,-43
4274,Illinois,88,Ohio State,80,0,3,0,9,28,54,27,21,4,32,1737.36,1569.78,167.57999999999993,8
4276,Brown,79,Providence,86,1,2,9,8,25,65,21,19,7,20,1195.45,1336.14,-140.69000000000005,-7
4284,North Carolina Central,67,Kentucky,103,0,0,7,7,19,57,19,12,15,17,1100.06,1630.94,-530.8800000000001,-36
4286,North Carolina A&T,69,Howard,73,2,9,6,18,23,63,16,20,9,15,1150.56,1164.9,-14.340000000000146,-4
4292,Coppin State,65,Saint Joseph's,87,1,2,7,6,20,57,18,17,12,13,958.17,1437.14,-478.97000000000014,-22
4296,South Dakota State,68,Ball State,64,0,5,2,11,27,57,19,15,2,11,1222.32,1141.5,80.81999999999994,4
4298,Little Rock,58,West Virginia,90,0,2,7,13,16,58,18,12,9,16,1196.72,1541.0,-344.28,-32
4300,Columbia,73,Stony Brook,77,0,7,11,18,31,69,31,17,9,19,1277.53,1298.45,-20.920000000000073,-4
4304,Bucknell,51,Rider,38,0,2,9,6,29,53,24,13,5,8,1078.13,1046.52,31.610000000000127,13
4306,Villanova,61,Michigan,89,1,3,10,6,27,62,37,21,7,14,1575.58,1808.16,-232.58000000000015,-28
4324,Southern,69,Texas,95,0,1,7,12,15,59,12,24,15,25,1161.11,1506.73,-345.6200000000001,-26
4326,Mississippi Valley State,49,Kansas State,108,1,4,8,12,18,62,18,12,11,16,880.93,1406.21,-525.2800000000001,-59
4328,Incarnate Word,83,New Orleans,84,0,2,9,12,15,59,27,20,3,21,1128.85,1191.05,-62.200000000000045,-1
4330,South Carolina State,44,Charleston Southern,84,1,1,5,13,25,54,10,22,2,24,1100.22,1124.81,-24.589999999999918,-40
4332,Lafayette,72,Pennsylvania,74,1,5,5,6,29,59,21,16,6,13,1057.31,1249.03,-191.72000000000003,-2
4336,North Florida,58,Gonzaga,109,0,1,6,7,18,60,38,18,5,13,1073.09,1743.3,-670.21,-51
4340,Cornell,90,Samford,93,0,1,7,17,25,76,37,26,12,18,1345.62,1252.0,93.61999999999989,-3
4342,Central Arkansas,68,East Texas A&M,75,0,0,9,4,29,60,21,20,8,15,1233.52,1090.49,143.02999999999997,-7
4346,TCU,65,North Texas,55,2,4,10,13,25,54,17,13,7,22,1510.74,1366.58,144.16000000000008,10
4348,Georgetown,61,North Carolina,81,0,2,6,11,25,72,23,17,10,12,1395.12,1618.04,-222.92000000000007,-20
4352,Alabama A&M,58,Lipscomb,92,0,2,0,13,22,56,14,15,0,21,1159.36,1376.51,-217.1500000000001,-34
4354,Nevada,78,Washington State,64,0,2,7,14,21,60,20,20,4,21,1532.39,1334.53,197.86000000000013,14
4356,Creighton,50,Nebraska,71,1,3,2,9,26,52,33,19,5,17,1487.53,1720.83,-233.29999999999995,-21
4358,Green Bay,58,Wright State,86,0,2,5,7,22,48,12,20,5,18,1278.0,1357.04,-79.03999999999996,-28
4362,Belmont,83,Middle Tennessee,62,1,1,5,9,34,65,23,15,4,13,1576.64,1370.68,205.96000000000004,21
4368,San Francisco,65,Mississippi State,62,0,6,3,11,32,61,29,11,6,10,1418.17,1479.75,-61.57999999999993,3
4370,Towson,61,UCF,86,3,2,3,12,15,55,21,16,5,13,1355.75,1610.01,-254.26,-25
4376,Hofstra,80,Pittsburgh,73,1,1,3,8,18,55,20,14,4,18,1280.5,1355.73,-75.23000000000002,7
4386,Central Michigan,65,Saint Louis,107,1,3,4,9,17,53,21,15,13,23,1115.34,1636.71,-521.3700000000001,-42
4390,UTSA,55,Alabama,97,0,3,4,9,32,61,33,17,13,16,1082.68,1641.07,-558.3899999999999,-42
4398,Iona,81,Sacred Heart,69,1,0,11,10,23,61,31,13,13,18,1354.38,1200.63,153.75,12
4402,Florida Atlantic,81,Florida Gulf Coast,76,1,6,6,14,20,56,21,12,8,32,1453.21,1208.3,244.91000000000008,5
4404,Utah State,79,Charlotte,53,0,1,12,9,22,58,21,20,18,19,1580.6,1357.23,223.3699999999999,26
4406,Rider,58,Quinnipiac,72,2,9,7,11,26,62,14,11,0,8,1046.52,1351.39,-304.8700000000001,-14
4412,Niagara,43,Saint Peter's,71,3,2,5,9,20,45,16,11,2,14,1023.36,1323.38,-300.0200000000001,-28
4414,Canisius,52,Siena,74,0,0,2,12,27,54,20,14,0,19,1090.17,1329.38,-239.21000000000004,-22
4416,Manhattan,68,Marist,80,0,2,8,8,29,58,19,19,5,24,1137.32,1341.33,-204.01,-12
4418,Missouri,60,Kansas,80,0,3,6,16,19,61,27,20,15,21,1511.6,1674.85,-163.25,-20
4420,Southern Indiana,55,Indiana State,77,0,6,7,6,24,55,23,9,9,13,1001.13,1236.05,-234.91999999999996,-22
4424,Fairfield,63,Merrimack,74,1,1,5,16,22,59,19,19,2,16,1238.99,1391.05,-152.05999999999995,-11
