,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
314,Alabama A&M,74,Texas Southern,89,0,4,3,7,22,52,18,18,7,20,1159.36,1131.23,28.12999999999988,-15
316,Kent State,76,Eastern Michigan,75,1,4,3,11,36,58,23,19,2,28,1470.86,1185.25,285.6099999999999,1
320,Tennessee State,96,Lindenwood,86,1,4,11,9,22,68,14,17,9,10,1313.36,1208.69,104.66999999999985,10
322,Illinois,88,Purdue,82,0,2,0,13,20,56,38,14,5,22,1737.36,1701.37,35.99000000000001,6
324,Iowa State,84,Oklahoma State,71,1,0,10,11,25,51,26,18,15,27,1713.44,1497.55,215.8900000000001,13
326,Richmond,69,George Washington,85,0,1,7,12,21,61,20,13,10,14,1292.52,1401.48,-108.96000000000004,-16
328,UCF,95,Colorado,86,0,2,4,7,25,54,24,15,2,21,1610.01,1417.81,192.20000000000005,9
330,Saint Peter's,59,Merrimack,67,3,2,7,28,21,64,22,20,13,24,1323.38,1391.05,-67.66999999999985,-8
332,North Dakota State,86,Oral Roberts,58,1,5,8,9,23,61,24,10,10,9,1454.82,977.9,476.91999999999996,28
334,Oakland,95,Detroit Mercy,87,1,1,8,10,20,61,21,12,17,26,1405.88,1151.58,254.30000000000018,8
336,Troy,83,Georgia Southern,78,0,2,5,17,22,57,25,15,5,24,1456.41,1299.91,156.5,5
338,Eastern Kentucky,76,Jacksonville,81,1,0,6,12,17,52,17,22,11,28,1137.52,1202.42,-64.90000000000009,-5
344,Tennessee Tech,58,SIU Edwardsville,62,1,3,5,13,22,58,17,14,11,15,1029.28,1253.21,-223.93000000000006,-4
346,Virginia Tech,71,Louisville,85,1,7,5,9,22,62,30,18,2,8,1535.9,1614.63,-78.73000000000002,-14
348,West Virginia,53,Arizona,88,0,2,2,8,22,64,22,18,3,4,1541.0,1826.82,-285.81999999999994,-35
350,Houston,86,Texas Tech,90,0,1,5,11,17,60,28,25,2,21,1772.45,1756.84,15.610000000000127,-4
352,Morgan State,78,Howard,77,1,5,6,18,22,70,21,24,9,29,1120.63,1164.9,-44.26999999999998,1
354,George Mason,65,Rhode Island,74,1,3,2,9,25,47,16,23,3,24,1598.84,1428.69,170.14999999999986,-9
358,Dayton,74,Saint Joseph's,81,0,7,7,11,26,64,23,17,11,15,1445.16,1437.14,8.019999999999982,-7
360,Boston University,79,Colgate,80,0,2,9,5,21,53,20,16,5,27,1100.96,1291.69,-190.73000000000002,-1
362,Winthrop,82,Presbyterian,72,1,2,7,15,24,63,19,18,7,35,1407.07,1185.99,221.07999999999993,10
368,Columbia,79,Dartmouth,69,0,6,8,11,32,61,29,16,4,29,1277.53,1254.78,22.75,10
372,Northern Illinois,53,Ball State,58,3,0,4,10,24,52,28,19,9,17,1107.89,1141.5,-33.6099999999999,-5
